Key,Date,URLs,News headlines if I don't have URLs
A,4/12/13,http://money.cnn.com/2013/04/12/investing/bitcoin-bubble/index.html,Bitcoin bubble may have burst
B,9/5/13,https://www.bloomberg.com/news/articles/2013-09-05/bitcoin-mania-grips-china,Bitcoin Mania Grips China
C,10/25/13,https://www.forbes.com/sites/andygreenberg/2013/10/25/fbi-says-its-seized-20-million-in-bitcoins-from-ross-ulbricht-alleged-owner-of-silk-road/#143f9f012765,"FBI Says It's Seized $28.5 Million In Bitcoins From Ross Ulbricht, Alleged Owner Of Silk Road"
D,11/7/13,https://www.forbes.com/sites/kashmirhill/2013/11/07/federal-reserve-economist-on-bitcoin-small-phenomenon-but-growing/#1b10fd885471,Federal Reserve Economist On Bitcoin: 'Small Phenomenon But Growing'
E,11/18/13,http://money.cnn.com/2013/11/18/investing/bitcoin-china/index.html?iid=EL,Why China wasn’t to dominate bitcoin
E,11/18/13,https://www.wired.com/2013/11/silk-road/,HOW THE FEDS TOOK DOWN THE SILK ROAD DRUG WONDERLAND
E,11/19/13,http://money.cnn.com/2013/11/19/investing/bitcoin-price/index.html,Bitcoin: $500 to $900 and back ... in a day!
F,11/29/13,http://money.cnn.com/2013/11/29/investing/bitcoin-gold/index.html,Bitcoin worth almost as much as gold
G,12/17/13,https://www.forbes.com/sites/kashmirhill/2013/12/17/bitcoin-crashes-as-china-cracks-down-further-on-use/#4e0242ec7691,Bitcoin Tanks After China Cracks Down On Exchanges [Updated]
H,2/25/14,https://www.forbes.com/sites/andygreenberg/2014/02/25/bitcoins-price-plummets-as-mt-gox-goes-dark-with-massive-hack-rumored/#6c40551ce1fe,"Bitcoin's Price Plummets As Mt. Gox Goes Dark, With Massive Hack Rumored"
I,9/18/15,https://www.cnbc.com/2015/09/18/bitcoin-now-classed-as-a-commodity-in-the-us.html,Bitcoin now classed as a commodity in the US
J,2/20/16,https://www.coindesk.com/bitcoin-miners-back-proposed-timeline-for-2017-network-hard-fork/,Bitcoin Miners Back Proposed Timeline for 2017 Hard Fork
J,2/20/16,https://medium.com/@bitcoinroundtable/bitcoin-roundtable-consensus-266d475a61ff,Bitcoin Roundtable Consensus
K,8/3/16,https://www.coindesk.com/bitfinex-bitcoin-hack-know-dont-know/,The Bitfinex Bitcoin Hack: What We Know (And Don't Know)
K,8/3/16,http://fortune.com/2016/08/03/bitcoin-stolen-bitfinex-hack-hong-kong/,Bitcoin Worth $72M Was Stolen in Bitfinex Exchange Hack in Hong Kong
K,8/8/16,https://techcrunch.com/2016/08/08/hacked-bitcoin-exchange-bitfinex-will-reduce-balances-by-36-to-distribute-losses-amongst-all-users/,Hacked Bitcoin exchange Bitfinex will reduce balances by 36% to distribute losses amongst all users
K,8/8/16,https://www.cnbc.com/2016/08/08/bitfinex-users-set-to-lose-36-of-their-holding-in-bitcoin-hack.html,Bitfinex users set to lose 36% of their holding in bitcoin hack
L,1/1/17,https://news.bitcoin.com/bitcoin-breaking-1000-as-exchanges-break-volume-records-worldwide/,"Bitcoin Breaks $1,000 as Exchanges Break Volume Records Worldwide"
L,1/1/17,https://www.japantimes.co.jp/news/2017/01/03/business/financial-markets/bitcoin-2016s-best-performing-currency-breaks-1000-barrier/#.WidudrS79TY,"Bitcoin 2016’s best-performing currency, breaks through $1,000 barrier"
L,1/2/17,https://www.cnbc.com/2017/01/02/bitcoin-breaks-1000-level-highest-in-more-than-3-years.html,"Bitcoin breaks $1,000 level, highest in more than 3 years"
L,1/2/17,https://www.vanguardngr.com/2017/01/surging-bitcoin-breaks-1000-barrier/,"Surging Bitcoin breaks through $1,000 barrier "
M,3/10/17,https://www.washingtonpost.com/news/get-there/wp/2017/03/10/sec-rejects-bitcoin-etf-application-from-winklevoss-twins/?utm_term=.1917d3531032,SEC rejects bitcoin ETF application from Winklevoss twins
M,3/10/17,https://nypost.com/2017/03/10/winklevoss-bitcoin-trust-tanks-after-sec-denies-application/,Winklevoss' Bitcoin Trust tanks after SEC deniees application
N,3/29/17,https://www.cnbc.com/2017/03/29/us-sec-denies-a-second-application-to-list-bitcoin-product.html,US SEC denies a second application to list bitcoin product
N,3/28/17,https://www.reuters.com/article/us-bitcoin-etp/sec-denies-a-second-application-to-list-bitcoin-product-idUSKBN16Z2HH,SEC denies a second application to list bitcoin product
O,7/12/17,http://fortune.com/2017/07/12/ethereum-price/,Cryptocurrencies Down 23% for July. Is This the Bottom?
O,7/20/17,https://www.nytimes.com/2017/07/20/business/dealbook/alphabay-dark-web-opioids.html,2 Leading Online Black Markets Are Shut Down by Authorities
O,7/21/17,http://mashable.com/2017/07/21/dark-web-marketplace-drugs-dream-market/#EWw..CSSKmqb,The last big dark market left online may already be 
P,8/1/17,https://bitcoinexchangeguide.com/august-1-2017-bitcoin-hard-fork-scaling-debate/,August 1 2017 Bitcoin Hard Fork – Scaling Debate Coin Protection?
P,8/1/17,https://www.theverge.com/2017/8/1/16075276/bitcoin-cash-hard-fork-coinbase,"Bitcoin has split in two, so you can have double the cryptocurrency"
P,8/1/17,http://money.cnn.com/2017/08/01/technology/business/bitcoin-cash-new-currency/index.html,"Bitcoin split in two, here's what that means"
P,8/11/17,http://fortune.com/2017/08/11/bitcoin-cash-hard-fork-price-date-why/,The Bitcoin Cash Hard Fork Will Show Us Which Coin Is Best
Q,8/29/17,https://www.cnbc.com/2017/08/29/bitcoin-jumps-to-record-high-offshoot-bitcoin-cash-falls.html,"Bitcoin jumps nearly 70% for August to record high, offshoot 'bitcoin cash' falls to more than one-week low"
R,9/12/17,https://www.bloomberg.com/news/articles/2017-09-12/jpmorgan-s-ceo-says-he-d-fire-traders-who-bet-on-fraud-bitcoin,Jamie Dimon Slams Bitcoin as a ‘Fraud’
R,9/12/17,https://www.cnbc.com/2017/09/12/jpmorgan-ceo-jamie-dimon-raises-flag-on-trading-revenue-sees-20-percent-fall-for-the-third-quarter.html,JPMorgan CEO Jamie Dimon says bitcoin is a 'fraud' that will eventually blow up
R,9/14/17,https://www.cnbc.com/2017/09/14/bitcoin-is-dropping-right-now-after-a-big-chinese-exchange-said-it-is-closing.html,Bitcoin took a major dive after a big Chinese exchange said it is closing
R,9/15/17,http://money.cnn.com/2017/09/15/technology/china-bitcoin-exchanges-prices-crash/index.html,China's bitcoin crackdown forces exchanges to close. The price is crashing
S,11/8/17,https://techcrunch.com/2017/11/08/segwit2x-backers-cancel-plans-for-bitcoin-hard-fork/,SegWit2x backers cancel plans for bitcoin hard fork
S,11/12/17,http://fortune.com/2017/11/12/bitcoin-upheavel-segwit2x-fork/,Bitcoin Is in Wild Upheaval After The Cancellation of the Segwit2x Fork
S,11/9/17,https://www.coinspeaker.com/2017/11/09/bitcoin-not-splitting-segwit2x-hardfork-now-cancelled/,"Bitcoin is Not Splitting, SegWit2x Hardfork Is Now Cancelled"
T,11/20/17,http://money.cnn.com/2017/11/20/investing/bitcoin-prices/index.html,"Can anything stop bitcoin? Price above $8,000"
T,11/29/17,http://money.cnn.com/2017/11/29/investing/bitcoin-rally-explainer/index.html,"Bitcoin at $11,000: What the heck is going on?"
T,11/29/17,http://markets.businessinsider.com/commodities/news/goldman-sachs-says-bitcoin-is-a-commodity-2017-11-1009967470,Goldman Sachs says bitcoin is a commodity
T,12/1/17,https://www.coindesk.com/cme-begin-trading-bitcoin-futures-december-18/,"CME, CBOE to Begin Bitcoin Futures Trading"
